//logi 2+, 3+, 4+, 5+
//Difficulty==2 (solved count = 176, percent = 100.0) (maxDepth == 5)
"o07923"	                                                                                               0.162s 100.0%
"o07571"	                                                                                               0.228s 100.0%
"o10576"	                                                                                               0.237s 100.0%
"o08312"	                                                                                               0.238s 100.0%
"o08436"	                                                                                               0.239s 100.0%
"o04932"	                                                                                               0.282s 100.0%
"o07508"	                                                                                               0.284s 100.0%
"o07702"	                                                                                               0.290s 100.0%
"o03767"	                                                                                               0.312s 100.0%
"o07806"	                                                                                               0.312s 100.0%
"o07834"	                                                                                               0.331s 100.0%
"o08007"	                                                                                               0.346s 100.0%
"o10075"	                                                                                               0.365s 100.0%
"o08231"	                                                                                               0.386s 100.0%
"o07942"	                                                                                               0.387s 100.0%
"o08324"	                                                                                               0.435s 100.0%
"o07823"	                                                                                               0.471s 100.0%
"o08518"	                                                                                               0.485s 100.0%
"o04881"	                                                                                               0.498s 100.0%
"o09749"	                                                                                               0.502s 100.0%
"o05448"	                                                                                               0.513s 100.0%
"o11136"	                                                                                               0.522s 100.0%
"o09593"	                                                                                               0.527s 100.0%
"o09739"	                                                                                               0.539s 100.0%
"o10314"                                                                                                   0.565s 100.0%
"o09353"                                                                                                   0.592s 100.0%
"o03500"                                                                                                   0.604s 100.0%
"o09839"                                                                                                   0.612s 100.0%
"o08687"                                                                                                   0.625s 100.0%
"o08481"                                                                                                   0.628s 100.0%
"o10360"                                                                                                   0.631s 100.0%
"o07816"                                                                                                   0.634s 100.0%
"o07924"                                                                                                   0.647s 100.0%
"o11181"                                                                                                   0.650s 100.0%
"o08691"                                                                                                   0.654s 100.0%
"o10715"                                                                                                   0.657s 100.0%
"o09426"                                                                                                   0.672s 100.0%
"o10608"                                                                                                   0.676s 100.0%
"o07975"                                                                                                   0.684s 100.0%
"o08088"                                                                                                   0.703s 100.0%
"o08526"                                                                                                   0.703s 100.0%
"o08482"                                                                                                   0.703s 100.0%
"o07837"                                                                                                   0.711s 100.0%
"o11481"                                                                                                   0.714s 100.0%
"o03344"                                                                                                   0.727s 100.0%
"o09029"                                                                                                   0.733s 100.0%
"o07545"                                                                                                   0.737s 100.0%
"o07393"                                                                                                   0.741s 100.0%
"o10834"                                                                                                   0.746s 100.0%
"o09107"                                                                                                   0.747s 100.0%
"o07808"                                                                                                   0.768s 100.0%
"o09513"                                                                                                   0.787s 100.0%
"o07830"                                                                                                   0.790s 100.0%
"o06997"                                                                                                   0.796s 100.0%
"o08313"                                                                                                   0.808s 100.0%
"o10615"                                                                                                   0.814s 100.0%
"o11819"                                                                                                   0.828s 100.0%
"o06862"                                                                                                   0.831s 100.0%
"o11595"                                                                                                   0.834s 100.0%
"o11675"                                                                                                   0.841s 100.0%
"o07277"                                                                                                   0.845s 100.0%
"o08517"                                                                                                   0.866s 100.0%
"o09136"                                                                                                   0.874s 100.0%
"o07559"                                                                                                   0.881s 100.0%
"o11598"                                                                                                   0.888s 100.0%
"o07390"                                                                                                   0.888s 100.0%
"o09270"                                                                                                   0.892s 100.0%
"o09011"                                                                                                   0.892s 100.0%
"o07929"                                                                                                   0.914s 100.0%
"o09988"                                                                                                   0.942s 100.0%
"o09608"                                                                                                   0.943s 100.0%
"o03345"                                                                                                   0.945s 100.0%
"o07519"                                                                                                   0.945s 100.0%
"o09921"                                                                                                   0.949s 100.0%
"o04461"                                                                                                   0.962s 100.0%
"o08164"                                                                                                   0.973s 100.0%
"o11426"                                                                                                   0.975s 100.0%
"o09817"                                                                                                   0.984s 100.0%
"o08486"                                                                                                   0.992s 100.0%
"o07467"                                                                                                   0.993s 100.0%
"o08376"                                                                                                   1.024s 100.0%
"o10266"                                                                                                   1.042s 100.0%
"o08825"                                                                                                   1.057s 100.0%
"o09529"                                                                                                   1.075s 100.0%
"o08340"                                                                                                   1.082s 100.0%
"o10968"                                                                                                   1.101s 100.0%
"o09469"                                                                                                   1.101s 100.0%
"o10232"                                                                                                   1.112s 100.0%
"o07271"                                                                                                   1.118s 100.0%
"o10312"                                                                                                   1.136s 100.0%
"o02119"                                                                                                   1.160s 100.0%
"o08336"                                                                                                   1.161s 100.0%
"o11836"                                                                                                   1.168s 100.0%
"o03877"                                                                                                   1.171s 100.0%
"o03815"                                                                                                   1.176s 100.0%
"o03873"                                                                                                   1.188s 100.0%
"o04416"                                                                                                   1.202s 100.0%
"o10605"                                                                                                   1.214s 100.0%
"o10033"                                                                                                   1.226s 100.0%
"o10362"                                                                                                   1.245s 100.0%
"o10373"                                                                                                   1.252s 100.0%
"o04388"                                                                                                   1.264s 100.0%
"o07529"                                                                                                   1.267s 100.0%
"o08188"                                                                                                   1.268s 100.0%
"o10649"                                                                                                   1.274s 100.0%
"o09618"                                                                                                   1.287s 100.0%
"o08350"                                                                                                   1.296s 100.0%
"o09620"                                                                                                   1.342s 100.0%
"o11968"                                                                                                   1.347s 100.0%
"o07535"                                                                                                   1.365s 100.0%
"o10165"                                                                                                   1.391s 100.0%
"o10690"                                                                                                   1.398s 100.0%
"o11445"                                                                                                   1.413s 100.0%
"o03502"                                                                                                   1.414s 100.0%
"o08471"                                                                                                   1.415s 100.0%
"o09845"                                                                                                   1.440s 100.0%
"o09886"                                                                                                   1.445s 100.0%
"o10381"                                                                                                   1.464s 100.0%
"o03759"                                                                                                   1.467s 100.0%
"o11483"                                                                                                   1.502s 100.0%
"o07337"                                                                                                   1.510s 100.0%
"o10030"                                                                                                   1.511s 100.0%
"o02696"                                                                                                   1.554s 100.0%
"o08514"                                                                                                   1.571s 100.0%
"o03988"                                                                                                   1.581s 100.0%
"o02241"                                                                                                   1.594s 100.0%
"o02394"                                                                                                   1.629s 100.0%
"o11242"                                                                                                   1.641s 100.0%
"o10393"                                                                                                   1.759s 100.0%
"o04515"                                                                                                   1.777s 100.0%
"o04065"                                                                                                   1.781s 100.0%
"o02849"                                                                                                   1.817s 100.0%
"o07528"                                                                                                   1.848s 100.0%
"o09909"                                                                                                   1.906s 100.0%
"o07310"                                                                                                   1.911s 100.0%
"o10179"                                                                                                   1.932s 100.0%
"o11132"                                                                                                   1.945s 100.0%
"o08398"                                                                                                   2.007s 100.0%
"o03872"                                                                                                   2.100s 100.0%
"o02811"                                                                                                   2.104s 100.0%
"o08371"                                                                                                   2.118s 100.0%
"o02701"                                                                                                   2.132s 100.0%
"o10665"                                                                                                   2.153s 100.0%
"o01658"                                                                                                   2.184s 100.0%
"o10980"                                                                                                   2.261s 100.0%
"o02133"                                                                                                   2.302s 100.0%
"o03828"                                                                                                   2.350s 100.0%
"o11582"                                                                                                   2.378s 100.0%
"o08049"                                                                                                   2.410s 100.0%
"o08004"                                                                                                   2.438s 100.0%
"o03843"                                                                                                   2.557s 100.0%
"o03757"                                                                                                   2.659s 100.0%
"o11185"                                                                                                   2.664s 100.0%
"o10015"                                                                                                   2.676s 100.0%
"o09547"                                                                                                   2.679s 100.0%
"o02137"                                                                                                   2.717s 100.0%
"o11525"                                                                                                   2.779s 100.0%
"o00168"                                                                                                   2.835s 100.0%
"o03302"                                                                                                   2.912s 100.0%
"o09889"                                                                                                   3.138s 100.0%
"o11197"                                                                                                   3.174s 100.0%
"o12367"                                                                                                   3.190s 100.0%
"o08061"                                                                                                   3.230s 100.0%
"o03810"                                                                                                   3.266s 100.0%
"o10291"                                                                                                   3.295s 100.0%
"o03429"                                                                                                   3.451s 100.0%
"o09328"                                                                                                   3.534s 100.0%
"o08318"                                                                                                   3.991s 100.0%
"o03965"                                                                                                   4.069s 100.0%
"o10289"                                                                                                   4.501s 100.0%
"o10348"                                                                                                   4.749s 100.0%
"o07432"                                                                                                   4.843s 100.0%
"o10292"                                                                                                   8.657s 100.0%
"o10375"                                                                                                   8.906s 100.0%
"o09976"                                                                                                  22.599s 100.0%
"o04678"                                                                                                  49.187s 100.0%

//Difficulty==3  (solved count = 224, percent = 100.0) (maxDepth == 5)
"o10155"	                                                                                               0.191s 100.0%
"o07959"	                                                                                               0.210s 100.0%
"o07940"	                                                                                               0.221s 100.0%
"o10396"	                                                                                               0.243s 100.0%
"o08327"	                                                                                               0.318s 100.0%
"o07490"	                                                                                               0.335s 100.0%
"o07982"	                                                                                               0.344s 100.0%
"o07972"	                                                                                               0.353s 100.0%
"o11619"	                                                                                               0.360s 100.0%
"o09144"	                                                                                               0.361s 100.0%
"o07708"	                                                                                               0.398s 100.0%
"o07849"	                                                                                               0.401s 100.0%
"o11188"	                                                                                               0.419s 100.0%
"o06481"	                                                                                               0.439s 100.0%
"o08165"	                                                                                               0.446s 100.0%
"o06734"	                                                                                               0.477s 100.0%
"o07405"	                                                                                               0.478s 100.0%
"o10357"	                                                                                               0.498s 100.0%
"o07815"	                                                                                               0.509s 100.0%
"o10328"	                                                                                               0.518s 100.0%
"o07973"	                                                                                               0.574s 100.0%
"o07391"	                                                                                               0.587s 100.0%
"o05424"	                                                                                               0.632s 100.0%
"o08474"	                                                                                               0.638s 100.0%
"o08006"	                                                                                               0.648s 100.0%
"o11144"	                                                                                               0.654s 100.0%
"o07058"	                                                                                               0.659s 100.0%
"o06796"	                                                                                               0.660s 100.0%
"o07270"	                                                                                               0.662s 100.0%
"o10629"	                                                                                               0.687s 100.0%
"o07552"	                                                                                               0.748s 100.0%
